,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,8,19,10,1,9.0,2.0,260.0,67.0,165.0,8.0,15.0,12.0,19.0,5.0,8.0,367.0,47.0,97.0,27.0,6.0,16.0,8.0,7.0,5.0,590.0,198.0,107.0,23.0,3.0,1.0,18.0,13.0,4.0,322.0,169.0,134.0,12.0,3.0,3.0,11.0,6.0,0.0,74.0,47.0,191.0,14.0,12.0,8.0,15.0,2.0,0.0,182.0,120.0,280.0,19.0,5.0,12.0,16.0,18.0,11.0,508.0,68.0,180.0,1.0,17.0,8.0,18.0,13.0,15.0,226.0,30.0,3.0,1.0,0.0,6.0,18.0,12.0,16.0,247.0,157.0,174.0,1.0,2.0,19.0,19.0,12.0,14.0,430.0,41.0,273.0,41831.26583500662
0,17,18,13,4,9.0,6.0,554.0,176.0,27.0,21.0,12.0,18.0,15.0,12.0,6.0,309.0,23.0,279.0,29.0,2.0,0.0,12.0,9.0,11.0,205.0,24.0,138.0,2.0,3.0,4.0,5.0,15.0,18.0,498.0,166.0,232.0,4.0,13.0,2.0,4.0,5.0,11.0,542.0,107.0,290.0,8.0,7.0,11.0,17.0,4.0,5.0,365.0,149.0,45.0,15.0,2.0,7.0,4.0,2.0,2.0,15.0,83.0,165.0,23.0,16.0,2.0,17.0,3.0,17.0,563.0,88.0,8.0,22.0,19.0,3.0,5.0,18.0,2.0,73.0,64.0,229.0,12.0,8.0,6.0,9.0,11.0,0.0,491.0,112.0,221.0,32622.794352405668
0,22,18,12,1,11.0,16.0,273.0,153.0,69.0,2.0,11.0,13.0,18.0,10.0,8.0,198.0,163.0,235.0,1.0,0.0,5.0,4.0,10.0,15.0,497.0,196.0,125.0,29.0,5.0,18.0,8.0,0.0,15.0,351.0,52.0,224.0,16.0,18.0,18.0,6.0,10.0,18.0,144.0,105.0,222.0,14.0,13.0,2.0,7.0,17.0,5.0,270.0,156.0,276.0,19.0,19.0,5.0,16.0,12.0,15.0,526.0,162.0,40.0,8.0,8.0,5.0,10.0,5.0,19.0,564.0,183.0,165.0,29.0,14.0,14.0,18.0,18.0,19.0,314.0,37.0,114.0,8.0,12.0,19.0,1.0,18.0,7.0,261.0,138.0,257.0,50984.68821825281
0,23,8,2,3,0.0,15.0,51.0,167.0,26.0,8.0,11.0,11.0,13.0,12.0,9.0,383.0,76.0,221.0,1.0,17.0,15.0,4.0,1.0,0.0,338.0,57.0,262.0,24.0,7.0,4.0,18.0,16.0,4.0,146.0,15.0,146.0,20.0,18.0,2.0,1.0,6.0,3.0,265.0,136.0,67.0,2.0,6.0,15.0,15.0,18.0,0.0,386.0,69.0,86.0,19.0,19.0,12.0,18.0,11.0,18.0,145.0,22.0,299.0,20.0,19.0,18.0,17.0,12.0,15.0,210.0,116.0,40.0,3.0,12.0,8.0,7.0,7.0,11.0,306.0,100.0,33.0,12.0,3.0,13.0,14.0,2.0,5.0,220.0,116.0,65.0,506556.4774413796
0,16,18,0,0,0.0,8.0,579.0,193.0,210.0,4.0,17.0,15.0,1.0,0.0,12.0,372.0,120.0,69.0,8.0,0.0,11.0,12.0,9.0,3.0,368.0,16.0,185.0,26.0,13.0,15.0,7.0,19.0,14.0,258.0,178.0,39.0,28.0,9.0,18.0,4.0,19.0,5.0,124.0,141.0,235.0,23.0,1.0,1.0,0.0,7.0,17.0,347.0,39.0,223.0,3.0,10.0,0.0,0.0,6.0,16.0,562.0,107.0,168.0,16.0,1.0,13.0,16.0,7.0,6.0,224.0,197.0,24.0,20.0,18.0,2.0,4.0,4.0,12.0,65.0,60.0,139.0,10.0,8.0,15.0,4.0,9.0,8.0,445.0,142.0,138.0,53052.74193194249
0,19,18,19,16,17.0,2.0,481.0,194.0,160.0,25.0,5.0,2.0,17.0,14.0,2.0,108.0,199.0,238.0,12.0,6.0,4.0,15.0,15.0,1.0,530.0,12.0,36.0,26.0,11.0,4.0,1.0,14.0,10.0,195.0,164.0,173.0,12.0,15.0,16.0,12.0,3.0,15.0,574.0,117.0,253.0,19.0,12.0,1.0,2.0,0.0,13.0,413.0,185.0,193.0,15.0,7.0,3.0,11.0,14.0,16.0,19.0,167.0,8.0,12.0,11.0,9.0,15.0,1.0,15.0,141.0,186.0,48.0,1.0,7.0,7.0,0.0,13.0,10.0,103.0,112.0,109.0,9.0,3.0,16.0,6.0,3.0,4.0,318.0,73.0,159.0,49470.514273116154
0,4,19,18,12,15.0,13.0,159.0,136.0,40.0,20.0,18.0,17.0,13.0,0.0,19.0,159.0,89.0,169.0,11.0,7.0,15.0,19.0,5.0,18.0,308.0,160.0,80.0,19.0,0.0,16.0,15.0,10.0,8.0,275.0,156.0,116.0,7.0,8.0,3.0,12.0,14.0,5.0,2.0,85.0,83.0,8.0,10.0,11.0,6.0,2.0,6.0,109.0,123.0,72.0,21.0,14.0,16.0,12.0,8.0,5.0,300.0,148.0,295.0,14.0,1.0,5.0,16.0,3.0,17.0,376.0,78.0,192.0,5.0,6.0,12.0,17.0,13.0,9.0,41.0,159.0,172.0,16.0,18.0,3.0,18.0,16.0,0.0,227.0,116.0,136.0,356951.8972212055
0,14,11,1,0,16.0,8.0,159.0,182.0,147.0,2.0,12.0,18.0,12.0,9.0,10.0,310.0,96.0,69.0,0.0,15.0,2.0,7.0,7.0,6.0,584.0,54.0,142.0,27.0,8.0,10.0,4.0,7.0,10.0,150.0,50.0,40.0,22.0,5.0,11.0,2.0,10.0,8.0,182.0,97.0,21.0,19.0,1.0,10.0,13.0,4.0,1.0,223.0,87.0,243.0,10.0,13.0,6.0,18.0,11.0,8.0,286.0,81.0,161.0,3.0,19.0,7.0,13.0,16.0,14.0,350.0,38.0,142.0,21.0,2.0,0.0,7.0,8.0,14.0,388.0,107.0,208.0,3.0,11.0,18.0,4.0,10.0,8.0,9.0,91.0,159.0,238288.9354865933
0,24,14,5,19,16.0,11.0,415.0,106.0,145.0,1.0,15.0,12.0,4.0,13.0,2.0,429.0,136.0,150.0,0.0,4.0,1.0,5.0,6.0,2.0,33.0,153.0,165.0,5.0,18.0,3.0,3.0,12.0,6.0,353.0,178.0,116.0,25.0,19.0,4.0,1.0,2.0,17.0,508.0,28.0,104.0,15.0,15.0,12.0,2.0,8.0,8.0,228.0,66.0,65.0,23.0,19.0,9.0,13.0,12.0,17.0,163.0,47.0,95.0,0.0,5.0,0.0,9.0,10.0,10.0,24.0,46.0,296.0,25.0,8.0,1.0,8.0,18.0,18.0,244.0,189.0,197.0,14.0,4.0,13.0,1.0,4.0,15.0,213.0,184.0,105.0,51032.05530590785
0,25,10,0,19,2.0,6.0,306.0,79.0,13.0,1.0,8.0,10.0,0.0,19.0,3.0,9.0,139.0,269.0,5.0,13.0,14.0,1.0,3.0,0.0,372.0,104.0,8.0,23.0,13.0,13.0,9.0,15.0,10.0,322.0,54.0,146.0,15.0,12.0,15.0,17.0,12.0,10.0,582.0,62.0,87.0,2.0,15.0,8.0,10.0,14.0,12.0,403.0,91.0,264.0,24.0,1.0,5.0,18.0,11.0,5.0,537.0,100.0,190.0,22.0,2.0,14.0,4.0,15.0,4.0,103.0,111.0,121.0,16.0,17.0,7.0,7.0,15.0,4.0,295.0,153.0,110.0,7.0,10.0,1.0,11.0,18.0,1.0,321.0,120.0,82.0,150698.58886729798
0,24,15,15,10,8.0,10.0,460.0,84.0,158.0,12.0,6.0,0.0,19.0,17.0,4.0,87.0,182.0,208.0,28.0,2.0,3.0,15.0,19.0,13.0,421.0,60.0,32.0,24.0,15.0,12.0,12.0,7.0,15.0,85.0,17.0,129.0,29.0,4.0,8.0,16.0,8.0,19.0,61.0,158.0,26.0,9.0,0.0,5.0,14.0,18.0,6.0,9.0,114.0,155.0,17.0,8.0,13.0,6.0,4.0,12.0,186.0,140.0,31.0,27.0,8.0,6.0,1.0,5.0,8.0,113.0,106.0,53.0,13.0,8.0,11.0,13.0,16.0,4.0,577.0,24.0,102.0,13.0,2.0,14.0,13.0,13.0,3.0,5.0,138.0,284.0,43547.87053345647
0,25,3,9,18,18.0,14.0,246.0,10.0,94.0,22.0,0.0,9.0,11.0,6.0,16.0,410.0,124.0,297.0,13.0,11.0,12.0,7.0,17.0,5.0,422.0,118.0,264.0,13.0,16.0,8.0,16.0,11.0,15.0,319.0,61.0,277.0,16.0,11.0,3.0,7.0,15.0,1.0,510.0,19.0,184.0,7.0,16.0,17.0,15.0,4.0,14.0,297.0,106.0,51.0,2.0,11.0,9.0,15.0,11.0,0.0,78.0,112.0,250.0,14.0,8.0,19.0,0.0,11.0,5.0,492.0,96.0,55.0,5.0,19.0,5.0,14.0,9.0,7.0,86.0,127.0,144.0,17.0,7.0,15.0,5.0,6.0,12.0,511.0,16.0,200.0,66750.79409484043
0,3,9,8,8,18.0,9.0,271.0,90.0,79.0,27.0,17.0,15.0,5.0,4.0,16.0,32.0,153.0,52.0,10.0,10.0,17.0,9.0,3.0,2.0,539.0,99.0,19.0,6.0,12.0,12.0,11.0,13.0,9.0,400.0,30.0,236.0,24.0,15.0,17.0,16.0,7.0,18.0,47.0,15.0,259.0,3.0,7.0,14.0,16.0,1.0,17.0,475.0,198.0,166.0,0.0,18.0,4.0,0.0,8.0,14.0,158.0,163.0,178.0,2.0,16.0,11.0,1.0,18.0,4.0,110.0,111.0,254.0,20.0,13.0,14.0,1.0,14.0,4.0,154.0,68.0,37.0,18.0,7.0,13.0,0.0,14.0,2.0,215.0,93.0,248.0,133686.99170266575
0,4,18,19,19,0.0,18.0,566.0,34.0,169.0,22.0,16.0,12.0,3.0,16.0,9.0,301.0,63.0,274.0,0.0,19.0,5.0,7.0,1.0,14.0,539.0,170.0,76.0,10.0,4.0,16.0,18.0,6.0,1.0,184.0,138.0,33.0,6.0,13.0,8.0,12.0,16.0,0.0,189.0,60.0,51.0,0.0,0.0,11.0,2.0,5.0,3.0,23.0,187.0,206.0,22.0,11.0,17.0,12.0,6.0,3.0,440.0,58.0,233.0,12.0,15.0,1.0,19.0,11.0,9.0,519.0,96.0,9.0,21.0,15.0,12.0,13.0,16.0,14.0,352.0,12.0,37.0,15.0,4.0,10.0,7.0,3.0,12.0,505.0,44.0,220.0,52282.21413607785
0,13,5,13,16,6.0,14.0,467.0,14.0,20.0,14.0,5.0,12.0,16.0,0.0,10.0,341.0,95.0,45.0,8.0,18.0,11.0,0.0,11.0,12.0,328.0,101.0,257.0,10.0,7.0,17.0,12.0,15.0,5.0,387.0,192.0,121.0,1.0,19.0,12.0,15.0,0.0,10.0,123.0,73.0,195.0,28.0,19.0,19.0,14.0,12.0,9.0,131.0,83.0,7.0,19.0,13.0,13.0,18.0,6.0,11.0,582.0,112.0,204.0,17.0,9.0,15.0,12.0,3.0,15.0,590.0,18.0,47.0,22.0,3.0,6.0,12.0,0.0,8.0,136.0,87.0,243.0,19.0,15.0,18.0,13.0,6.0,18.0,357.0,111.0,1.0,43871.01928065268
0,24,6,17,6,5.0,6.0,201.0,96.0,4.0,2.0,7.0,3.0,17.0,8.0,2.0,451.0,88.0,26.0,13.0,3.0,18.0,6.0,17.0,4.0,183.0,112.0,100.0,8.0,7.0,18.0,9.0,16.0,14.0,500.0,152.0,25.0,15.0,3.0,9.0,4.0,11.0,9.0,164.0,141.0,242.0,11.0,11.0,5.0,8.0,4.0,10.0,263.0,198.0,24.0,26.0,13.0,16.0,19.0,3.0,4.0,401.0,85.0,284.0,22.0,15.0,13.0,16.0,11.0,15.0,140.0,161.0,15.0,4.0,11.0,7.0,14.0,17.0,12.0,190.0,108.0,214.0,22.0,12.0,15.0,7.0,12.0,17.0,398.0,11.0,42.0,106979.64072738428
0,3,7,13,9,3.0,5.0,458.0,104.0,33.0,22.0,10.0,15.0,2.0,2.0,12.0,578.0,80.0,38.0,29.0,18.0,5.0,8.0,11.0,2.0,544.0,46.0,260.0,9.0,15.0,1.0,14.0,9.0,19.0,59.0,169.0,292.0,29.0,5.0,11.0,8.0,6.0,17.0,215.0,180.0,3.0,3.0,11.0,8.0,19.0,10.0,16.0,303.0,94.0,50.0,14.0,0.0,3.0,9.0,14.0,18.0,108.0,36.0,133.0,7.0,1.0,5.0,8.0,15.0,2.0,122.0,29.0,255.0,1.0,3.0,13.0,0.0,16.0,18.0,208.0,179.0,89.0,15.0,19.0,1.0,4.0,5.0,18.0,251.0,177.0,200.0,55339.89919020221
0,27,7,7,8,9.0,11.0,479.0,54.0,248.0,15.0,1.0,15.0,9.0,3.0,2.0,217.0,76.0,109.0,8.0,17.0,15.0,2.0,4.0,15.0,46.0,77.0,201.0,5.0,2.0,2.0,15.0,8.0,13.0,417.0,80.0,222.0,29.0,1.0,17.0,19.0,15.0,1.0,139.0,49.0,92.0,15.0,2.0,5.0,2.0,3.0,14.0,507.0,96.0,6.0,5.0,0.0,17.0,19.0,3.0,6.0,492.0,144.0,274.0,14.0,1.0,14.0,9.0,1.0,4.0,31.0,68.0,84.0,26.0,5.0,17.0,1.0,6.0,11.0,375.0,179.0,63.0,0.0,3.0,9.0,4.0,5.0,7.0,479.0,124.0,54.0,50323.65250488008
